University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
California Beauty School,Modesto,CA,www.calbeautycollege.edu/,22497,Public,8740,36.96231329,905,5115,67.13713203,23.44248579
California Christian College,Fresno,CA,www.calchristiancollege.edu/,21212,Public,27796,56.81965593,1576,3225,57.00397601,2.044989704
Haven University,Garden Grove,CA,www.haven.edu/,45004,Private,27977,20.88430449,1367,4174,87.60495538,21.91437128
California Hair Design Academy,La Mesa,CA,https://chdaschools.com/,32594,Private,22001,33.13412526,877,3028,56.39598023,7.333863236
California Institute of the Arts,Valencia,CA,https://www.calarts.edu/,30554,Private,3408,18.14302975,1412,565,84.09250259,20.70458342
California State University Maritime Academy,Vallejo,CA,https://www.csum.edu/,48277,Private,8841,76.8510514,1161,5776,85.74170233,13.58416612
California Western School of Law,San Diego,CA,https://www.cwsl.edu/,21912,Private,9347,20.45933093,1292,5116,91.34164733,10.37817786
Canada College,Redwood City,CA,canadacollege.edu/,11446,Private,16303,14.96370637,847,5076,68.40547298,14.41991551
College of the Canyons,Santa Clarita,CA,www.canyons.edu/,41413,Public,1596,82.75773267,1102,6238,84.8058538,23.90099508
Career Academy of Beauty,Garden Grove,CA,caofb.com/,6728,Private,14136,6.870699124,1480,4574,88.61492481,5.623720592
Casa Loma College-Los Angeles,Sherman Oaks,CA,https://www.casalomacollege.edu/,31960,Public,7615,81.56282667,1312,4323,93.03082765,4.159578949
CET-San Diego,San Diego,CA,https://www.cetweb.edu/,14351,Public,29291,72.54818994,1390,4224,83.94873097,8.974137
CET-San Jose,San Jose,CA,https://cetweb.edu/,12434,Public,28777,38.87350181,1575,718,63.45162809,15.25556474
CET-El Centro,El Centro,CA,https://cetweb.edu/,40907,Public,15346,21.09028398,1236,1469,54.4900711,3.860042879
CET-Colton,Colton,CA,https://cetweb.edu/,7584,Private,18289,98.088352,1365,5521,52.5685946,11.48933823
CET-Watsonville,Watsonville,CA,https://www.cetweb.edu/,18344,Public,3615,92.32973195,1117,3044,93.35332274,20.90448604
CET-Salinas,Salinas,CA,https://cetweb.edu/,48015,Public,26042,63.7687423,827,282,89.96236459,19.48055915
Cerritos College,Norwalk,CA,www.cerritos.edu/,37054,Private,12781,31.0926037,1261,5651,87.18918248,15.62474842
Cerro Coso Community College,Ridgecrest,CA,cerrocoso.edu/,23396,Private,36335,58.20723377,1261,4265,86.46342685,10.9082912
Chabot College,Hayward,CA,www.chabotcollege.edu/,17351,Public,15648,84.41475993,1321,3685,50.5706891,11.16662432
Chaffey College,Rancho Cucamonga,CA,https://www.chaffey.edu/,42495,Public,13730,96.72570383,1337,3955,56.83459925,0.19311732
Chapman University,Orange,CA,https://www.chapman.edu/,43434,Private,24145,20.37311347,1450,450,60.90615552,18.83185802
Charles R Drew University of Medicine and Science,Los Angeles,CA,www.cdrewu.edu/,48668,Private,20301,62.73726727,1175,1974,71.2651525,6.200626964
Concordia University-Irvine,Irvine,CA,www.cui.edu/,43292,Private,13220,40.24167524,1338,1793,64.23276654,23.05959112
San Diego Christian College,Spring Valley,CA,sdcc.edu/,12204,Public,4933,37.28514946,834,4239,52.84722121,17.00779576
Church Divinity School of the Pacific,Berkeley,CA,www.cdsp.edu/,48804,Private,10284,42.0366061,815,3325,56.45213089,15.32049812
Citrus College,Glendora,CA,https://www.citruscollege.edu/,37548,Private,10018,23.03164351,1060,4396,92.19124312,16.0435461
Citrus Heights Beauty College,Citrus Heights,CA,chbeautycollege.com/,27157,Private,27760,11.24445364,1037,4906,85.52954964,23.60255124
City College of San Francisco,San Francisco,CA,www.ccsf.edu/,36654,Public,25718,42.9663619,1156,620,82.94255293,4.369245085
Claremont Graduate University,Claremont,CA,www.cgu.edu/,26259,Private,25908,78.16588337,1518,5741,69.78381687,3.902159253
Claremont McKenna College,Claremont,CA,www.cmc.edu/,21773,Public,28516,72.05288989,1003,5993,70.20334961,14.81012484
Milan Institute-Visalia,Visalia,CA,www.milaninstitute.edu/,25832,Public,10343,78.92703684,1209,2245,64.85223538,1.198888122
Clovis Adult Education,Clovis,CA,clovisadult.cusd.com/,13446,Private,29747,27.14766516,1217,4858,64.43755472,21.65178505
Coastline Community College,Fountain Valley,CA,www.coastline.edu/,42604,Public,24852,37.51541838,1531,3403,61.98090541,23.76663207
University of Silicon Valley,San Jose,CA,https://usv.edu/,48974,Private,18836,54.0494967,1254,2665,90.38263354,14.25251454
Coba Academy,Anaheim,CA,www.coba.edu/,10126,Private,26001,35.00020248,1398,2488,72.08376556,16.00030446
Western University of Health Sciences,Pomona,CA,www.westernu.edu/,44273,Public,8915,68.27246767,1065,2535,78.73770013,19.47099691
Columbia College,Sonora,CA,https://www.gocolumbia.edu/,27068,Public,21620,12.21765282,1166,5247,70.13414731,0.564991339
Columbia College Hollywood,Tarzana,CA,https://www.columbiacollege.edu/,7352,Public,22610,96.06618381,909,3713,69.50894626,24.56391491
Compton College,Compton,CA,www.compton.edu/,24616,Public,5645,70.80978561,982,2227,62.92290143,15.99235222
Contra Costa College,San Pablo,CA,https://www.contracosta.edu/,9371,Private,17039,91.52710552,1272,513,88.57401356,7.980682177
Cosumnes River College,Sacramento,CA,https://www.crc.losrios.edu/,41669,Public,2739,73.26967843,945,88,88.32954032,13.79311546
Crafton Hills College,Yucaipa,CA,www.craftonhills.edu/,5537,Private,31801,17.84694656,1283,1966,90.34514309,7.831797469
Cuesta College,San Luis Obispo,CA,https://www.cuesta.edu/,22028,Private,10936,81.65791786,1363,491,71.97168279,6.53914024
Cuyamaca College,El Cajon,CA,https://www.cuyamaca.edu/,9658,Private,38343,84.2716414,1248,1916,70.12100193,23.32321233
Cypress College,Cypress,CA,www.cypresscollege.edu/,25641,Private,32796,67.82830458,953,5450,70.53816657,0.45082547
De Anza College,Cupertino,CA,https://www.deanza.edu/,44895,Public,36513,90.81362414,1102,5094,66.43955214,3.439394699
International School of Beauty Inc,Palm Desert,CA,https://btyschool.com/,39590,Private,31950,7.356986372,872,4411,82.90514266,1.848531287
Dell'Arte International School of Physical Theatre,Blue Lake,CA,www.dellarte.com/school,10028,Private,4032,69.33396318,951,1753,81.21208098,10.69381403
College of the Desert,Palm Desert,CA,www.collegeofthedesert.edu/,19644,Public,13687,25.79777844,899,6314,93.11330597,23.34153202
Design Institute of San Diego,San Diego,CA,www.disd.edu/,6151,Private,10820,15.04246148,1408,5309,53.37565738,4.343160201
Dharma Realm Buddhist University,Ukiah,CA,https://drbu.edu/,10330,Public,19605,67.36363503,1384,786,64.56590687,2.930867643
Diablo Valley College,Pleasant Hill,CA,https://www.dvc.edu/,45242,Public,16868,77.1540083,889,6146,96.65671212,18.11132199
Dominican University of California,San Rafael,CA,https://www.dominican.edu/,19096,Public,21511,80.58919551,1567,2327,71.38189588,24.68591497
Dominican School of Philosophy & Theology,Berkeley,CA,https://www.dspt.edu/,5006,Public,34573,42.6131405,860,16,95.21913591,21.21113421
East Los Angeles College,Monterey Park,CA,www.elac.edu/,32982,Public,39566,72.45948874,1275,5284,72.14876005,3.347761399
El Camino Community College District,Torrance,CA,www.elcamino.edu/,19765,Private,4092,95.03619993,1559,5668,59.87997731,12.62138984
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,www.emperors.edu/,10059,Private,38653,66.12759035,1544,3571,61.94255787,21.47005719
Empire College,Santa Rosa,CA,https://empcol.edu/,23521,Private,8072,19.1534874,1598,4191,75.42971581,2.184868808
Evergreen Valley College,San Jose,CA,www.evc.edu/,28232,Private,10286,34.97831548,1250,998,62.64748312,14.71038036
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,www.fidm.edu/,16465,Public,23138,45.64469485,888,2697,50.51412657,15.86347619
Feather River Community College District,Quincy,CA,www.frc.edu/,14505,Private,22436,61.98530945,822,4978,86.3923077,7.607698423
Federico Beauty Institute,Sacramento,CA,federico.edu/,24609,Private,25073,10.1807401,848,5297,58.20843219,4.855588864
Fielding Graduate University,Santa Barbara,CA,www.fielding.edu/,46593,Private,12804,41.71771991,1167,2313,72.28774209,24.21619031
Five Branches University,Santa Cruz,CA,www.fivebranches.edu/,44472,Public,35214,71.00448664,1168,5575,59.51634678,2.789319778
Redondo Beach Beauty College,Torrance,CA,rbbeautycollege.com/,48889,Public,17926,5.210580705,1063,4233,96.31385276,3.024151939
Foothill College,Los Altos Hills,CA,https://foothill.edu/,25413,Private,17805,11.85873599,896,6315,94.42444105,12.07236415
Franciscan School of Theology,San Diego,CA,www.fst.edu/,41509,Public,37519,87.78176568,997,5165,97.61741778,6.63814185
Fredrick and Charles Beauty College,Eureka,CA,www.fandcbeauty.com/,41494,Public,8477,16.9013198,1426,2975,83.6553096,0.347328419
Fresno City College,Fresno,CA,www.fresnocitycollege.edu/,20742,Public,30516,84.32259282,1201,698,95.80004975,2.598720271
Fresno Pacific University,Fresno,CA,www.fresno.edu/,30676,Public,23659,61.87042937,1067,3148,51.12900015,15.87366069
Fuller Theological Seminary,Pasadena,CA,www.fuller.edu/,42582,Private,4924,20.6276527,1421,5774,58.51592377,0.969222508
Fullerton College,Fullerton,CA,www.fullcoll.edu/,45836,Public,24867,63.62643938,1480,2080,72.25988819,21.26727835
Gavilan College,Gilroy,CA,https://www.gavilan.edu/,5505,Public,13623,28.07526277,1251,6371,60.50860008,24.93287325
Gemological Institute of America-Carlsbad,Carlsbad,CA,www.gia.edu/gem-education,12185,Public,36312,80.55064862,1468,6160,64.74666854,10.58617703
Glendale Community College,Glendale,CA,https://www.glendale.edu/,15278,Private,38835,10.26924662,1525,226,90.59880634,1.117690111
Glendale Career College,Glendale,CA,www.success.edu/,44694,Public,19760,52.5195329,1472,1684,95.730586,6.242720812
Golden Gate University,San Francisco,CA,www.ggu.edu/,10333,Public,32472,39.61308242,1021,1018,66.62787737,20.27520527
Golden West College,Huntington Beach,CA,www.goldenwestcollege.edu/,17057,Private,26871,41.96061782,974,3473,88.29935854,11.26516814
Graduate Theological Union,Berkeley,CA,www.gtu.edu/,12571,Private,11510,49.01897215,1023,5387,78.24381233,14.6172758
Grossmont College,El Cajon,CA,https://www.grossmont.edu/,22172,Public,6301,86.87966582,1466,2111,62.12367972,13.59246086
Salon Success Academy-Riverside,Riverside,CA,www.salonsuccessacademy.com/,34746,Private,30664,85.60758985,1338,5986,57.23839843,8.311792096
Hartnell College,Salinas,CA,www.hartnell.edu/,29478,Public,4262,12.76428855,1396,970,76.11124958,0.369718031
Harvey Mudd College,Claremont,CA,https://www.hmc.edu/,19640,Private,13494,78.24190633,1230,334,72.30485978,2.001121407
Hilltop Beauty School,Daly City,CA,www.hilltopbeautyschool.com/,45335,Public,15237,6.268101839,934,392,64.00248024,3.627954825
Holy Names University,Oakland,CA,www.hnu.edu/,22786,Public,37964,26.14240126,1010,4819,92.19387825,23.91855497
Pacifica Graduate Institute,Carpinteria,CA,www.pacifica.edu/,15537,Public,5455,62.22397989,1054,5748,70.83325102,6.754604378
California State Polytechnic University-Humboldt,Arcata,CA,www.humboldt.edu/,29425,Public,14150,87.16609192,1274,767,65.62566238,9.277438431
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,www.humphreys.edu/,15557,Public,20699,7.877657843,1551,5624,66.93470146,1.404892834
Imperial Valley College,Imperial,CA,www.imperial.edu/,44354,Private,12620,87.1324608,930,2635,55.32706839,23.26138446
Institute for Business and Technology,Santa Clara,CA,https://ibt.edu/,6098,Private,12608,47.83448707,979,5733,78.68706041,11.53972828
Interior Designers Institute,Newport Beach,CA,https://www.idi.edu/,13562,Private,34278,31.31764,1050,171,97.27691753,3.312015132
International School of Cosmetology,Los Angeles,CA,www.toniguy.edu/,21486,Public,24157,28.91424926,1096,6268,66.35421517,4.254776723
Irvine Valley College,Irvine,CA,https://www.ivc.edu/,36145,Public,7706,26.47864655,1231,4931,83.7818751,12.83133936
Bellus Academy-El Cajon,El Cajon,CA,www.bellusacademy.edu/,12931,Private,12921,59.00411678,932,3722,88.58995732,7.031825802
American Jewish University,Los Angeles,CA,www.aju.edu/,8356,Private,22801,84.08239704,1372,1025,66.90187822,20.30859962
Reedley College,Reedley,CA,www.reedleycollege.edu/,32168,Private,2322,49.9053669,1261,1726,93.5451515,22.07149771
Life Pacific University,San Dimas,CA,https://www.lifepacific.edu/,15767,Public,13308,94.96102903,989,912,51.37956262,9.111758322
University of La Verne,La Verne,CA,https://www.laverne.edu/,41316,Public,4694,47.78956263,1464,2804,96.04445276,18.01980795
Laguna College of Art and Design,Laguna Beach,CA,www.lcad.edu/,32250,Private,32737,39.3437388,1587,4440,90.06675571,2.953256899
Lake Tahoe Community College,South Lake Tahoe,CA,www.ltcc.edu/,35457,Private,1911,81.31645064,1440,4281,50.61087895,20.47114013
Lancaster Beauty School,Lancaster,CA,lancasterbeautyschool.com/,35279,Public,1506,45.35017184,1091,1266,55.23118589,3.294343012
Laney College,Oakland,CA,laney.edu/,42872,Private,7523,9.836764552,1357,1045,94.24940724,9.946361976
Lassen Community College,Susanville,CA,www.lassencollege.edu/,21966,Public,11502,57.00713945,893,662,68.55979422,10.79849446
Latin American Bible Institute,La Puente,CA,labi.edu/,19331,Private,25988,25.59344162,1185,5907,94.3248595,11.31146999
Life Chiropractic College West,Hayward,CA,www.lifewest.edu/,41702,Public,37418,86.77295577,1600,3850,60.52971509,10.51031636
Lincoln University,Oakland,CA,https://lincolnuca.edu/,13594,Public,15677,34.25407565,1243,4146,86.93491749,9.389078716
Southern California Seminary,El Cajon,CA,www.socalsem.edu/,45103,Private,37367,45.16115738,1208,1994,61.65804608,5.155181285
La Sierra University,Riverside,CA,https://lasierra.edu/,47187,Public,2859,28.36032895,1340,2653,69.4448602,23.08120235
Loma Linda University,Loma Linda,CA,www.llu.edu/index.html,32585,Private,36182,74.09259807,1141,6084,73.71172954,24.33114299
Long Beach City College,Long Beach,CA,www.lbcc.edu/,25744,Public,19560,78.26445121,934,2096,50.26862374,17.57875944
Southern California University of Health Sciences,Whittier,CA,https://www.scuhs.edu/,20678,Public,17624,81.3797513,1043,190,93.41901794,22.81840699
Los Angeles Harbor College,Wilmington,CA,https://www.lahc.edu/,12150,Public,28665,84.6512665,1190,5491,67.14108026,3.738193342
Los Angeles Pierce College,Woodland Hills,CA,www.lapc.edu/,34598,Public,8436,51.33690942,1359,2648,56.17494603,2.968899102
Los Angeles Southwest College,Los Angeles,CA,https://www.lasc.edu/,12449,Private,19856,22.96059602,1347,6069,66.51565506,21.72389083
Los Angeles Trade Technical College,Los Angeles,CA,www.lattc.edu/,17747,Public,19703,73.47654147,1239,2286,96.20217454,12.95604198
Los Angeles Valley College,Valley Glen,CA,www.lavc.edu/,16427,Private,3725,35.94738351,1157,1247,91.37491232,18.38211569
The Master's University and Seminary,Santa Clarita,CA,www.masters.edu/,49183,Private,5039,74.31377356,912,4548,84.08603502,3.845096129
Los Angeles City College,Los Angeles,CA,www.lacitycollege.edu/,30645,Private,7419,10.5618884,816,716,85.96697388,10.17511241
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,https://dhs.lacounty.gov/wps/portal/dhs/conah/,37342,Private,20423,63.84626528,975,1259,73.25225869,12.06183037
Los Angeles Mission College,Sylmar,CA,https://www.lamission.edu/,25052,Private,8918,16.12708762,974,4211,50.60638028,11.12439619
Los Medanos College,Pittsburg,CA,https://www.losmedanos.edu/,24322,Private,14636,59.54231805,1313,904,72.25310024,2.90083799
Loyola Marymount University,Los Angeles,CA,https://www.lmu.edu/,17426,Public,1020,76.64841357,1353,1112,97.25237268,22.29036778
Lu Ross Academy,Ventura,CA,www.lurossacademy.com/,36153,Public,13076,33.65213246,1044,1088,67.03395771,22.51652073
Lyle's College of Beauty,Bakersfield,CA,lylescolleges.com/,18134,Public,20168,78.93288019,1171,2462,82.62548069,15.95975063
Lyle's College of  Beauty,Fresno,CA,lylescolleges.com/,36366,Public,27450,34.61539516,1087,20,91.55889881,19.01488443
Lytles Redwood Empire Beauty College,Santa Rosa,CA,www.lytlesrebc.edu/,48183,Private,39584,78.40673527,1282,4168,70.50067087,23.57728267
MTI College,Sacramento,CA,www.mticollege.edu/,7397,Public,25239,56.31504166,1315,41,82.19390466,3.729253588
College of Marin,Kentfield,CA,www.marin.edu/,26628,Public,14843,98.84720079,1072,3113,84.17797723,8.523126645
Mendocino College,Ukiah,CA,www.mendocino.edu/,45771,Public,20680,79.43430312,1334,5070,87.3263543,15.44993607
Menlo College,Atherton,CA,www.menlo.edu/,37006,Public,24793,90.33281157,1418,5240,95.56458363,8.157256909
Merced College,Merced,CA,www.mccd.edu/,12407,Public,30374,22.81446261,1116,3755,50.87138577,7.977975428
Merritt College,Oakland,CA,www.merritt.edu/,48029,Public,21405,65.20695535,1588,5982,83.77534304,0.783041265
MiraCosta College,Oceanside,CA,www.miracosta.edu/,36910,Public,10186,11.16111792,926,6328,71.51276079,1.855000021
Mission College,Santa Clara,CA,www.missioncollege.edu/,47456,Private,35276,17.6481755,1356,3211,97.8736039,18.37743748
Modern Beauty Academy,Oxnard,CA,www.modernbeautyacademy.org/,17649,Private,15500,40.03213714,1335,2264,73.37795374,1.451104798
